,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (Census of Population 2000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
Mode of Transport,Total,,,,,,,,,,,,Males,,,,,,,,,,,,Females,,,,,,,,,,,,
,Total,Goods Producing Industries - Total,Goods Producing Industries - Manufacturing,Goods Producing Industries - Construction,Goods Producing Industries - Other Goods Industries*,Services Producing Industries - Total,Services Producing Industries - Wholesale & Retail Trade,Services Producing Industries - Hotels & Restaurants,Services Producing Industries - Transport & Communications,Services Producing Industries - Financial Services,Services Producing Industries - Business Services,Services Producing Industries - Other Services Industries,Total,Goods Producing Industries - Total,Goods Producing Industries - Manufacturing,Goods Producing Industries - Construction,Goods Producing Industries - Other Goods Industries*,Services Producing Industries - Total,Services Producing Industries - Wholesale & Retail Trade,Services Producing Industries - Hotels & Restaurants,Services Producing Industries - Transport & Communications,Services Producing Industries - Financial Services,Services Producing Industries - Business Services,Services Producing Industries - Other Services Industries,Total,Goods Producing Industries - Total,Goods Producing Industries - Manufacturing,Goods Producing Industries - Construction,Goods Producing Industries - Other Goods Industries*,Services Producing Industries - Total,Services Producing Industries - Wholesale & Retail Trade,Services Producing Industries - Hotels & Restaurants,Services Producing Industries - Transport & Communications,Services Producing Industries - Financial Services,Services Producing Industries - Business Services,Services Producing Industries - Other Services Industries,
Total,1482579,391674,289661,90894,11119,1090905,253673,93184,178038,87156,191236,287619,889482,261743,176451,76313,8979,627739,148140,47409,132810,34846,108856,155678,593097,129931,113210,14581,2140,463166,105532,45775,45228,52310,82379,131941,
No Transport Required,90298,10942,9535,1212,196,79356,16176,11714,29161,1203,5254,15847,52247,4150,3361,657,132,48097,7956,4690,27986,487,2628,4350,38050,6792,6173,555,64,31259,8220,7024,1176,716,2627,11497,
One Mode Of Transport,1086999,311897,228095,74620,9182,775102,192621,65313,118445,60004,136642,202077,679634,215075,143526,63978,7571,464559,120020,34788,87008,25919,82030,114795,407365,96822,84569,10641,1611,310544,72602,30525,31437,34086,54612,87282,
  Public Bus Only,370062,87934,69409,16261,2263,282128,58255,32656,41786,15560,46233,87639,182951,47359,33883,11859,1616,135593,24793,14102,27743,4796,22608,41551,187111,40575,35527,4402,647,146535,33462,18554,14043,10764,23625,46088,
  Private Chartered Bus/Van Only,98784,58851,49809,8485,556,39933,15461,1594,11261,540,5399,5679,60313,32605,24491,7658,456,27708,11432,1028,8549,171,3724,2804,38471,26246,25318,828,100,12225,4028,566,2712,370,1675,2874,
  MRT Only,127838,21057,15466,4834,757,106780,19754,9056,11891,20096,22325,23659,58896,12793,8982,3440,370,46103,7772,4448,6230,6513,10029,11111,68942,8265,6484,1394,387,60677,11982,4607,5660,13584,12296,12548,
  Car Only,351553,100599,67794,29313,3492,250955,76099,12884,27298,21246,50577,62851,255094,81363,52745,25574,3044,173731,55984,8389,21219,12557,35443,40138,96460,19235,15049,3739,448,77224,20115,4495,6079,8688,15134,22713,
  Taxi Only,18412,1985,1583,344,58,16427,2475,2279,5027,976,2419,3252,9180,1091,787,255,48,8089,1281,1073,2569,471,1196,1499,9232,894,795,89,10,8338,1194,1206,2457,505,1223,1753,
  Lorry/Pickup Only,31689,14539,5294,8784,461,17150,8504,864,5156,40,1399,1185,30156,14176,5045,8683,447,15980,7742,673,5097,29,1331,1107,1533,363,249,100,14,1169,762,191,59,11,69,78,
  Motorcycle/Scooter Only,70865,22587,15376,5807,1404,48278,8664,3868,13451,1401,6343,14551,68367,21920,14741,5780,1400,46447,8280,3576,13241,1283,6019,14048,2498,667,635,27,5,1831,384,292,210,118,324,504,
  Others,17796,4345,3364,791,190,13451,3410,2112,2575,146,1946,3261,14677,3770,2851,729,190,10907,2734,1497,2360,100,1678,2537,3119,576,513,62,-,2544,676,615,215,46,268,723,
Two Or More Modes Of Transport,305282,68835,52031,15063,1740,236447,44875,16158,30432,25948,49339,69695,157601,42517,29564,11678,1275,115084,20164,7931,17817,8440,24199,36533,147681,26317,22468,3385,465,121364,24711,8226,12615,17509,25140,33163,
  MRT & Public Bus Only,205869,43147,31981,10078,1088,162723,30697,11589,19148,18169,33907,49213,104615,26588,18103,7733,752,78027,12918,5691,10879,5619,16541,26378,101255,16559,13877,2345,336,84696,17779,5898,8269,12550,17366,22834,
  MRT & Car Only,6583,839,597,209,34,5744,905,125,459,1566,1530,1160,2875,417,302,100,14,2458,433,55,186,654,704,425,3708,422,295,108,19,3286,472,70,273,911,825,734,
  Others,92830,24849,19454,4776,619,67981,13273,4443,10825,6214,13903,19323,50111,15513,11159,3845,509,34599,6813,2185,6751,2166,6953,9729,42718,9336,8295,931,110,33382,6460,2258,4074,4048,6950,9594,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Includes Agriculture, Fishing, Quarrying and Utilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
