,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (General Household Survey 2005)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
Mode of Transport,Total,,,,,,,,,,,Males,,,,,,,,,,,Females,,,,,,,,,,,
,Total,Manufacturing,Construction,Wholesale & Retail Trade,Hotels & Restaurants,Transport & Storage,Information & Communications,Financial Services,Business Services,"Community, Social & Personal Services",Others*,Total,Manufacturing,Construction,Wholesale & Retail Trade,Hotels & Restaurants,Transport & Storage,Information & Communications,Financial Services,Business Services,"Community, Social & Personal Services",Others*,Total,Manufacturing,Construction,Wholesale & Retail Trade,Hotels & Restaurants,Transport & Storage,Information & Communications,Financial Services,Business Services,"Community, Social & Personal Services",Others*,
Total,1647294,275176,81626,303633,103199,163085,64492,102134,207043,329067,17839,959689,170963,67283,169961,49461,126567,37147,44513,114763,165429,13601,687605,104213,14343,133671,53738,36518,27345,57621,92281,163638,4237,
  No Transport Required,125294,10543,2685,23067,13806,35245,2917,2293,11434,22870,435,72740,5079,1560,11210,5347,33786,1608,1186,6133,6515,315,52554,5464,1125,11857,8459,1459,1309,1107,5301,16355,120,
  One Mode Of Transport,1159947,209840,64529,221118,71428,102314,41437,67747,142322,225247,13965,704298,133669,54719,132932,35828,76774,24740,31729,82758,119872,11277,455648,76171,9810,88185,35599,25539,16697,36019,59564,105375,2688,
    Public Bus Only,360571,58748,12970,60985,35123,31731,12217,14780,44460,85775,3782,172550,29164,9497,24133,14345,21779,6174,5315,21857,37633,2651,188021,29583,3472,36851,20778,9952,6043,9465,22603,48142,1131,
    Private Chartered Bus/Van Only,88833,38431,5763,16597,2665,9527,1193,1117,5589,7042,909,54571,19353,5261,12086,1679,6728,811,618,3761,3607,666,34262,19077,502,4511,985,2800,381,499,1829,3435,244,
    MRT Only,165914,15331,4581,28273,11767,10291,9691,23219,30056,31449,1256,73524,8696,3199,10927,5157,6046,5066,8399,12445,12843,744,92390,6635,1382,17346,6610,4245,4624,14819,17611,18606,511,
    Car Only,377759,66597,23328,88129,11856,21203,14719,24532,46023,76740,4631,263079,50297,19630,62625,7126,16462,10019,14629,31173,47118,4000,114679,16300,3698,25504,4730,4741,4700,9903,14850,29622,632,
    Taxi Only,22368,1705,158,2593,1504,5775,1511,1738,2682,4671,31,10379,858,94,1233,731,2631,785,853,1223,1940,31,11989,847,64,1360,772,3144,726,885,1459,2731,-,
    Lorry/Pickup Only,42921,7749,10980,10823,1596,6237,142,173,2523,1923,776,38778,6709,10501,9693,1037,6143,116,122,2281,1470,707,4142,1040,478,1130,559,94,26,51,243,453,68,
    Motorcycle/Scooter Only,75660,15519,5479,9205,4391,13539,1684,1879,7836,14128,2000,71261,14512,5385,8655,3931,13210,1552,1665,7345,13057,1949,4399,1007,94,550,460,329,132,214,491,1071,51,
    Others,25921,5761,1270,4513,2525,4010,281,311,3152,3518,580,20156,4078,1151,3580,1821,3775,218,127,2674,2203,528,5766,1683,120,932,705,235,64,183,478,1315,51,
  Two Or More Modes Of Transport,362053,54793,14411,59448,17965,25526,20138,32093,53287,80950,3439,182651,32216,11004,25819,8286,16006,10799,11598,25872,39042,2010,179402,22578,3408,33629,9680,9520,9339,20495,27415,41908,1429,
    MRT & Public Bus Only,248072,32804,10432,41944,14105,16054,12995,21926,37798,57632,2382,123315,19242,7889,17571,6342,10014,6783,7426,18278,28429,1341,124757,13561,2544,24374,7763,6040,6212,14499,19520,29204,1041,
    MRT & Car Only,10699,789,278,1599,202,461,750,2198,2379,1937,107,5083,405,218,776,103,269,417,1068,1052,737,39,5616,384,60,823,98,192,333,1130,1327,1199,68,
    Others,103281,21200,3702,15905,3659,9011,6394,7970,13110,21381,950,54253,12568,2898,7472,1841,5723,3599,3104,6541,9876,630,49028,8632,804,8432,1818,3288,2794,4866,6568,11505,320,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
