,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (Census of Population 2010)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 14/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
Mode of Transport,Total,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,
,Total,Manufacturing,Construction,Services- Total,Services- Wholesale & Retail Trade,Services- Transportation & Storage,Services- Accommodation & Food Services,Services- Information & Communications,Services- Financial & Insurance Services,Services- Real Estate Services,Services- Professional Services,Services- Administrative & Support Services,Services- Public Administration & Education,Services- Health & Social Services,"Services- Arts, Entertainment & Recreation","Services- Other Community, Social & Personal Services",Others*,Total,Manufacturing,Construction,Services- Total,Services- Wholesale & Retail Trade,Services- Transportation & Storage,Services- Accommodation & Food Services,Services- Information & Communications,Services- Financial & Insurance Services,Services- Real Estate Services,Services- Professional Services,Services- Administrative & Support Services,Services- Public Administration & Education,Services- Health & Social Services,"Services- Arts, Entertainment & Recreation","Services- Other Community, Social & Personal Services",Others*,Total,Manufacturing,Construction,Services- Total,Services- Wholesale & Retail Trade,Services- Transportation & Storage,Services- Accommodation & Food Services,Services- Information & Communications,Services- Financial & Insurance Services,Services- Real Estate Services,Services- Professional Services,Services- Administrative & Support Services,Services- Public Administration & Education,Services- Health & Social Services,"Services- Arts, Entertainment & Recreation","Services- Other Community, Social & Personal Services",Others*,
Total,1875642,257973,92754,1501605,317377,173893,113452,80371,131844,48573,127158,94651,242619,82619,32741,56308,23310,1068808,168608,73230,809569,169348,132533,51815,49966,59222,25865,68667,54054,137176,18017,17101,25805,17401,806834,89366,19524,692036,148028,41360,61637,30405,72622,22708,58491,40597,105442,64602,15640,30503,5909,
  Public Bus Only,361318,48151,12366,296892,59336,29363,34982,12435,15505,7506,16897,29223,51381,19716,7202,13345,3909,167855,25199,7837,132302,23076,19982,13712,6593,5697,3371,7573,15071,26522,2745,3282,4679,2517,193463,22952,4528,164589,36260,9382,21270,5842,9807,4135,9324,14152,24859,16971,3920,8667,1393,
  MRT Only,215837,15851,6219,191760,32566,12223,14290,12606,32416,6205,21473,11792,22663,13382,5415,6730,2007,94187,8785,4263,80137,12058,6977,6146,7150,12543,2616,8844,5491,11845,2012,2454,2000,1001,121650,7066,1956,111623,20507,5245,8144,5455,19873,3589,12628,6301,10818,11370,2961,4730,1005,
  MRT & Public Bus Only,329581,35540,12932,277595,51074,19835,18505,18822,29805,8876,26461,17707,50463,17260,8259,10527,3513,160235,20923,9136,127928,19744,12183,7939,11025,11163,3906,11670,9101,30741,2729,3968,3760,2248,169345,14617,3796,149667,31330,7652,10565,7798,18643,4969,14792,8606,19721,14531,4291,6768,1265,
  MRT & Car Only,14160,1114,413,12495,1974,623,290,734,2822,586,1928,333,2018,791,162,234,139,7093,728,243,6026,1013,336,111,392,1357,298,960,146,1019,213,73,108,95,7067,385,169,6469,961,287,179,341,1465,289,968,187,999,578,89,126,44,
  MRT & Another Mode,25665,4812,1057,19461,3620,1828,1004,1457,2964,548,2681,949,2223,868,732,585,335,13157,3023,770,9156,1539,1078,426,867,1307,195,1329,401,1315,125,361,211,208,12508,1789,287,10305,2081,750,578,590,1657,353,1352,547,909,743,371,374,128,
  Taxi Only,24939,1368,329,23173,3195,4967,1729,1663,2376,621,2327,786,3684,792,434,600,69,11349,646,205,10461,1490,2355,795,968,1063,224,1146,348,1536,147,210,178,36,13590,722,123,12712,1704,2612,934,695,1313,396,1181,437,2148,645,224,421,33,
  Car Only,465000,72182,29503,356340,95165,27857,14221,20362,33558,16427,35900,11939,68290,16114,5029,11477,6975,318054,55095,24257,232921,66258,21043,8466,14749,19466,10656,24717,8133,41294,7259,3437,7443,5781,146946,17087,5246,123419,28907,6814,5755,5613,14092,5771,11183,3806,26995,8856,1593,4034,1194,
