,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Working Persons Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (General Household Survey 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 23/03/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousands,
Mode of Transport,Total,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,
,Total,Manufacturing,Construction,Services- Total,Services- Wholesale & Retail Trade,Services- Transportation & Storage,Services- Accommodation & Food Services,Services- Information & Communications,Services- Financial & Insurance Services,Services- Real Estate Services,Services- Professional Services,Services- Administrative & Support Services,Services- Public Administration & Education,Services- Health & Social Services,"Services- Arts, Entertainment & Recreation","Services- Other Community, Social & Personal Services",Others1/,Total,Manufacturing,Construction,Services- Total,Services- Wholesale & Retail Trade,Services- Transportation & Storage,Services- Accommodation & Food Services,Services- Information & Communications,Services- Financial & Insurance Services,Services- Real Estate Services,Services- Professional Services,Services- Administrative & Support Services,Services- Public Administration & Education,Services- Health & Social Services,"Services- Arts, Entertainment & Recreation","Services- Other Community, Social & Personal Services",Others1/,Total,Manufacturing,Construction,Services- Total,Services- Wholesale & Retail Trade,Services- Transportation & Storage,Services- Accommodation & Food Services,Services- Information & Communications,Services- Financial & Insurance Services,Services- Real Estate Services,Services- Professional Services,Services- Administrative & Support Services,Services- Public Administration & Education,Services- Health & Social Services,"Services- Arts, Entertainment & Recreation","Services- Other Community, Social & Personal Services",Others1/,
Total,2147.8,238.7,110.4,1775.4,364.1,187.6,139.1,83.5,167.3,55.4,166.5,111.5,290.7,105.7,37,67.1,23.3,1171.8,153.6,80.5,921,185.1,141.5,61.1,50.9,78.5,27.4,87,61.3,157.5,23.9,18.3,28.5,16.7,976,85.1,29.9,854.4,178.9,46.2,78,32.6,88.7,28,79.5,50.2,133.2,81.8,18.6,38.6,6.6,
  Public Bus Only,353.6,39.9,11.8,299.3,56,27.3,38.3,10.8,17.7,8.8,17.2,29.1,51.3,21.7,6.9,14.2,2.6,155.3,20.7,5.6,127.6,22.2,17.7,14.6,5.1,7,3.5,8.6,14.5,24.3,2.9,2.9,4.3,1.4,198.4,19.2,6.3,171.7,33.8,9.6,23.8,5.7,10.7,5.4,8.6,14.6,27,18.7,4,10,1.1,
  MRT Only,257.7,13.9,7.8,234.2,38.3,13.6,19.9,12.2,39,6.6,29.6,16,29,15.6,6.9,7.7,1.9,110.4,7.7,4.6,97.1,14.4,8.2,8,7,15.8,2.6,12.8,7.2,13.1,2.7,3.1,2.3,1.1,147.3,6.2,3.2,137.1,23.9,5.4,11.9,5.2,23.2,4,16.9,8.7,15.8,12.9,3.8,5.3,0.8,
  MRT & Public Bus Only,533.4,45.3,20.2,462.8,83,28.1,33,27.8,48.5,14.6,48.7,29.5,88.4,29.9,12.2,19.2,5.1,252.2,25.8,13.3,209.9,32.2,17.2,15,15.9,19.9,6.4,20.1,15.3,49.8,5,5.7,7.4,3.2,281.2,19.5,6.9,252.9,50.7,10.9,18,11.9,28.7,8.2,28.6,14.2,38.6,24.9,6.5,11.8,1.9,
  Other Combinations Of MRT Or Public Bus,115.5,17.7,3,92.7,18,8.8,5.2,5.4,12.3,3.1,9.6,3.4,15.6,6.2,2.8,2.3,2.1,58.2,10.4,2.2,44.4,7.6,5.3,2.1,3.5,5.3,1.3,5.6,1.7,8,1.7,1.3,0.9,1.3,57.3,7.4,0.9,48.3,10.4,3.5,3.1,1.9,6.9,1.9,4,1.7,7.6,4.5,1.5,1.4,0.8,
  Taxi Only,28.4,1,0.6,26.7,2.6,8.5,2.8,1.7,2.7,0.4,2.1,0.4,3,0.8,0.6,1,0.1,15,0.4,0.4,14.1,1.4,6,1.4,0.7,1.3,0.2,1.2,0,1.2,0.1,0.3,0.2,0,13.4,0.6,0.2,12.6,1.3,2.5,1.4,1,1.4,0.2,0.9,0.3,1.9,0.7,0.2,0.8,0.1,
  Car Only,470,66.8,37.4,360,95.3,26.9,14.1,17.3,35.9,14.7,39.6,12.5,70.9,16.9,4,11.8,5.8,319.5,50.4,29.5,234.6,65.5,20.5,8.2,12.9,21.5,9.3,26.7,8.8,43.4,7.5,2.7,7.6,5.1,150.5,16.4,7.9,125.4,29.8,6.4,6,4.4,14.4,5.4,12.9,3.8,27.5,9.4,1.3,4.3,0.8,
  Private Chartered Bus/Van Only,58.3,20.7,3.4,33.6,11.5,8.4,1,0.8,2.1,0.3,2.4,2,2.4,1.1,0.3,1.3,0.5,37,13.1,3,20.6,7.4,5.5,0.7,0.7,1,0.1,1.4,1.4,0.7,0.7,0.1,0.9,0.2,21.3,7.6,0.4,13,4.1,2.9,0.3,0.1,1.1,0.2,1,0.7,1.7,0.4,0.2,0.4,0.3,
