,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Mode of Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Employed Residents Aged 15 Years and Over by Usual Mode of Transport to Work, Industry and Sex (Census of Population 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 18/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
Usual Mode of Transport to Work,Total,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,
,Total,Manufacturing,Construction,Services,,,,,,,,,,,,,Others1/,Total,Manufacturing,Construction,Services,,,,,,,,,,,,,Others1/,Total,Manufacturing,Construction,Services,,,,,,,,,,,,,Others1/,
,,,,Total,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Financial & Insurance Services,Real Estate Services,Professional Services,Administrative & Support Services,Public Administration & Education,Health & Social Services,"Arts, Entertainment & Recreation","Other Community, Social & Personal Services",,,,,Total,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Financial & Insurance Services,Real Estate Services,Professional Services,Administrative & Support Services,Public Administration & Education,Health & Social Services,"Arts, Entertainment & Recreation","Other Community, Social & Personal Services",,,,,Total,Wholesale & Retail Trade,Transportation & Storage,Accommodation & Food Services,Information & Communications,Financial & Insurance Services,Real Estate Services,Professional Services,Administrative & Support Services,Public Administration & Education,Health & Social Services,"Arts, Entertainment & Recreation","Other Community, Social & Personal Services",,
Total,2177456,218283,90321,1848458,322653,208414,128840,105837,201202,53429,174509,130122,286615,139697,33162,63978,20394,1163601,137901,63077,948128,160858,157302,55726,61918,95229,26878,89684,75534,151398,30610,16859,26133,14494,1013856,80382,27244,900330,161796,51112,73114,43918,105974,26551,84826,54589,135217,109087,16303,37844,5900,
  Public Bus Only,325779,33238,9965,280018,47350,25592,30508,10468,18371,6546,17230,31798,46494,28396,4547,12718,2558,142175,16910,4955,118798,17764,16090,11306,5710,7877,2970,7303,17785,21751,4061,2119,4063,1513,183603,16329,5010,161220,29586,9502,19202,4758,10494,3576,9927,14013,24743,24335,2428,8655,1045,
  MRT/LRT Only,287426,14419,5878,265211,38785,13736,18085,20747,50270,6953,35189,16229,31123,20278,6236,7581,1918,123164,7520,3160,111639,15162,7758,7661,11279,21739,2647,14842,7758,13922,3921,2776,2174,845,164262,6899,2718,153572,23623,5978,10424,9468,28531,4306,20348,8471,17201,16356,3460,5407,1073,
  MRT/LRT & Public Bus Only,559336,48261,18507,487676,79231,34029,33091,34184,59501,13693,47798,36884,80542,40564,11661,16498,4892,258897,27365,10987,217512,30981,20540,13836,18963,24908,6295,21527,19879,42355,7289,5323,5616,3033,300440,20896,7519,270165,48249,13489,19255,15221,34593,7397,26271,17005,38188,33275,6339,10882,1860,
  Other combinations of MRT/LRT or Public Bus,84893,12885,2333,68745,10609,5808,4065,4403,9008,1665,7288,4367,12688,5096,1861,1889,930,42562,7511,1382,33061,4677,3401,1737,2536,4114,683,3411,2327,7758,882,944,592,607,42330,5374,950,35684,5933,2407,2328,1867,4894,982,3876,2039,4930,4214,917,1296,322,
  Taxi/Private Hire Car Only,65118,3656,1171,60007,8233,8622,3954,4209,7444,1498,6300,2323,10418,4453,827,1725,284,28941,1930,715,26134,3751,4736,1624,2056,3170,549,3046,1214,4362,780,418,430,163,36178,1727,456,33874,4482,3887,2331,2153,4275,949,3255,1109,6055,3674,409,1295,121,
  Car Only,459796,57583,31035,365744,83011,25935,14970,19562,41617,15742,38896,14844,72232,22753,4297,11887,5434,299847,42363,24213,228661,54697,19379,8806,13510,24197,9354,26000,10003,43455,9364,2872,7024,4610,159949,15220,6822,137083,28314,6556,6165,6051,17420,6388,12895,4841,28777,13390,1424,4862,824,
